상권_ID,역명,지역,프리미엄_지수,클러스터
108,세마,경기,13,0
126,시흥시청,경기,13,0
72,백마,경기,13,0
142,양촌,경기,13,0
273,녹천,서울,12,0
353,양재시민의숲,서울,12,0
220,"4.19민주묘지, 북한산우이, 솔밭공원",서울,12,0
199,초월,경기,12,0
287,"둔촌오륜, 올림픽공원",서울,11,0
281,도봉산,서울,11,0
209,평택지제,경기,11,0
187,지석,경기,11,0
169,의왕,경기,10,0
312,"봉화산, 화랑대",서울,10,0
144,어정,경기,10,0
221,"가락시장, 개롱, 경찰병원, 방이, 오금",서울,10,0
86,사리,경기,10,0
314,불암산,서울,9,0
98,서동탄,경기,9,0
305,"미아, 삼양, 삼양사거리, 솔샘",서울,9,0
266,남태령,서울,8,0
366,온수,서울,8,0
48,덕소,경기,8,0
2,가평,경기,8,0
170,이천,경기,8,0
224,가오리,서울,7,0
125,시흥대야,경기,7,0
181,정왕,경기,7,0
51,도심,경기,7,0
137,야목,경기,6,0
309,복정,서울,6,0
200,초지,경기,6,0
203,퇴계원,경기,6,0
31,"김량장, 명지대",경기,6,0
54,동두천중앙,경기,6,0
85,사릉,경기,6,0
55,동백,경기,6,0
313,북한산보국문,서울,5,0
280,도봉,서울,5,0
385,중앙보훈병원,서울,5,0
164,원시,경기,4,0
148,연천,경기,4,0
122,시우,경기,4,0
14,곤지암,경기,4,0
64,매탄권선,경기,4,0
150,오남,경기,4,0
78,보산,경기,4,0
26,금곡,경기,4,0
11,고진,경기,3,0
349,암사역사공원,서울,3,0
79,보정,경기,3,0
45,대야미,경기,3,0
36,능곡,경기,3,0
80,보평,경기,2,0
70,반월,경기,2,0
93,상갈,경기,2,0
396,한강진,서울,2,0
91,삼동,경기,2,0
132,신현,경기,2,0
117,수리산,경기,2,0
89,산성,경기,2,0
128,신둔도예촌,경기,2,0
141,양주,경기,2,0
193,천마산,경기,2,0
268,노들,서울,2,0
205,팔당,경기,2,0
9,고색,경기,2,0
7,경기광주,경기,2,0
197,청평,경기,2,0
175,장암,경기,2,0
168,월롱,경기,1,0
371,응봉,서울,1,0
32,까치울,경기,1,0
283,독바위,서울,1,0
204,파주,경기,1,0
198,초당,경기,1,0
16,관악,경기,1,0
123,시청·용인대,경기,1,0
112,소요산,경기,1,0
13,곡산,경기,0,0
8,경마공원,경기,0,0
196,청산,경기,0,0
191,진위,경기,0,0
189,지평,경기,0,0
325,서빙고,서울,0,0
252,"구반포, 동작",서울,0,0
215,한국항공대,경기,0,0
234,개화,서울,0,0
5,강매,경기,0,0
163,원덕,경기,0,0
173,임진강,경기,0,0
152,오빈,경기,0,0
155,오이도,경기,0,0
161,운천,경기,0,0
146,여주,경기,0,0
158,운길산,경기,0,0
140,양정,경기,0,0
102,선바위,경기,0,0
133,아신,경기,0,0
109,세종대왕릉,경기,0,0
129,신원,경기,0,0
145,어천,경기,0,0
84,부천종합운동장,경기,0,0
96,상천,경기,0,0
81,부발,경기,0,0
39,달미,경기,0,0
53,동두천,경기,0,0
43,대공원,경기,0,0
44,대성리,경기,0,0
40,달월,경기,0,0
42,대곡,경기,0,0
24,국수,경기,0,0
37,능길,경기,0,0
