역명,지역
송내,경기
수내,경기
"수유, 화계",서울
수지구청,경기
"수진, 신흥",경기
신설동,서울
"신이문, 외대앞",서울
신천,경기
쌍문,서울
압구정로데오,서울
양천향교,서울
양평,서울
어린이대공원,서울
"언주, 역삼, 학동",서울
연신내,서울
영통,경기
응암,서울
장지,서울
정자,경기
중앙,경기
창동,서울
천호,서울
철산,경기
청량리,서울
태릉입구,서울
평촌,경기
하계,서울
화곡,서울
화정,경기
"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기
"가락시장, 개롱, 경찰병원, 방이, 오금",서울
가좌,서울
가천대,경기
갈매,경기
강남대,경기
강동구청,서울
"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 학여울, 한티",서울
"개화산, 방화",서울
거여,서울
걸포북변,경기
고덕,서울
고잔,경기
고촌,경기
"공항시장, 김포공항, 송정, 신방화",서울
과천,경기
관악산,서울
광교,경기
광나루,서울
광운대,서울
구일,서울
군자,서울
군포,경기
금릉,경기
금천구청,서울
금촌,경기
기흥,경기
까치산,서울
낙성대,서울
남성,서울
"남영, 삼각지, 숙대입구, 신용산, 용산",서울
남위례,경기
녹번,서울
"녹사평, 이태원",서울
녹양,경기
"답십리, 마장, 신답, 왕십리, 용답",서울
당정,경기
대화,경기
덕계,경기
도농,경기
도림천,서울
독산,서울
돌곶이,서울
동구릉,경기
둔전,경기
"디지털미디어시티, 수색",서울
마들,서울
마천,서울
"마포구청, 월드컵경기장",서울
망월사,경기
망포,경기
매교,경기
매봉,서울
먹골,서울
면목,서울
명학,경기
"모란, 태평",경기
문산,경기
미금,경기
"미아, 삼양, 삼양사거리, 솔샘",서울
방학,서울
백석,경기
별내,경기
별내별가람,경기
"봉화산, 화랑대",서울
사가정,서울
사리,경기
삼송,경기
상계,서울
상도,서울
상록수,경기
"상월곡, 월곡",서울
상일동,서울
상현,경기
서정리,경기
석계,서울
성균관대,경기
성복,경기
소사,경기
소새울,경기
"송산, 어룡, 탑석",경기
수락산,서울
수서,서울
숭실대입구,서울
시흥능곡,경기
신길,서울
"신내, 양원",서울
신대방,서울
신도림,서울
"신목동, 염창",서울
신풍,서울
아차산,서울
안산,경기
암사,서울
야당,경기
양천구청,서울
양평,경기
여의나루,서울
역곡,경기
오류동,서울
오목천,경기
오산,경기
오산대,경기
"용두, 제기동",서울
용마산,서울
용인중앙시장,경기
우장산,서울
운양,경기
운정,경기
원당,경기
원종,경기
원흥,경기
월곶,경기
이촌,서울
인덕원,경기
일산,경기
자양,서울
장기,경기
장승배기,서울
장자호수공원,경기
장한평,서울
전곡,경기
정릉,서울
정부과천청사,경기
종합운동장,서울
주엽,경기
죽전,경기
중계,서울
중곡,서울
중동,경기
중랑,서울
중화,서울
증산,서울
지축,경기
지행,경기
춘의,경기
탄현,경기
평내호평,경기
평택,경기
풍무,경기
하남검단산,경기
하남시청,경기
한남,서울
한대앞,경기
한양대,서울
홍제,서울
화서,경기
효창공원앞,서울
흑석,서울
