상권_ID,역명,지역,프리미엄_지수,클러스터
101,"공릉, 먹골, 봉화산, 석계, 태릉입구, 화랑대",서울,59.9,0
21,"구래, 마산, 양촌",경기,58.0,0
114,"언주, 역삼, 학동",서울,57.6,0
189,대흥,서울,57.3,0
135,"굽은다리, 명일",서울,57.1,0
58,"발곡, 범골, 회룡",경기,57.0,0
205,신설동,서울,56.8,0
214,여의나루,서울,56.4,0
130,"석촌, 송파",서울,55.6,0
147,"동대문역사문화공원, 동대입구, 약수, 청구",서울,55.2,0
137,"상왕십리, 행당",서울,53.6,0
38,"서현, 성남, 수내, 야탑, 이매, 정자, 판교",경기,52.8,0
197,상수,서울,52.7,0
140,"광흥창, 서강대",서울,51.6,0
224,청량리,서울,51.4,0
207,쌍문,서울,51.4,0
196,사당,서울,50.8,0
190,둔촌동,서울,50.8,0
49,"동천, 미금, 오리",경기,49.8,0
94,"신이문, 외대앞, 회기",서울,49.6,0
194,봉천,서울,49.4,0
174,평내호평,경기,49.2,0
128,"가락시장, 개롱, 경찰병원, 문정, 방이, 복정, 오금, 장지",서울,49.0,0
117,"사가정, 용마산",서울,49.0,0
107,"내방, 방배",서울,48.9,0
202,수서,서울,48.7,0
86,"남한산성입구, 단대오거리",경기,47.8,0
182,광운대,서울,47.2,0
91,"구산, 독바위, 불광, 역촌, 연신내",서울,47.0,0
19,"걸포북변, 사우, 풍무",경기,46.4,0
72,"노원, 마들, 상계",서울,46.3,0
50,"까치울, 부천시청, 부천종합운동장, 상동, 신중동, 춘의",경기,45.6,0
108,"강남구청, 선릉, 선정릉",서울,45.2,0
88,"군자, 아차산",서울,45.0,0
115,"거여, 마천",서울,44.3,0
73,"녹천, 창동",서울,44.2,0
179,강동구청,서울,44.2,0
37,"시흥대야, 신천",경기,44.0,0
87,"수진, 신흥",경기,44.0,0
217,이촌,서울,43.6,0
77,"길음, 정릉",서울,43.6,0
133,"아현, 애오개",서울,42.8,0
192,방학,서울,42.6,0
116,"망우, 면목, 상봉, 중랑",서울,42.4,0
209,암사,서울,41.8,0
146,"서울대벤처타운, 서원",서울,41.4,0
105,"디지털미디어시티, 수색",서울,41.4,0
64,"경기도청북부청사, 곤제, 새말, 효자",경기,41.2,0
186,낙성대,서울,40.6,0
84,"개화, 개화산, 방화",서울,40.6,0
98,"노량진, 상도, 숭실대입구, 장승배기",서울,39.8,0
55,"송내, 중동",경기,39.8,0
161,성복,경기,39.4,0
90,"새절, 응암, 증산",서울,39.0,0
82,"신목동, 염창",서울,39.0,0
70,"개봉, 구일",서울,38.0,0
206,신풍,서울,38.0,0
125,"목동, 신정, 신정네거리, 오목교",서울,37.8,0
100,"강일, 상일동",서울,37.3,0
99,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 매봉, 학여울, 한티",서울,36.8,0
220,중곡,서울,36.2,0
180,고덕,서울,35.8,0
181,관악산,서울,34.8,0
97,"노들, 흑석",서울,34.5,0
122,"용두, 제기동",서울,34.4,0
227,효창공원앞,서울,33.8,0
54,"금천구청, 독산",서울,32.4,0
46,"산본, 수리산",경기,32.3,0
28,"구리, 다산, 도농, 동구릉, 장자호수공원",경기,32.2,0
47,"군포, 당정",경기,32.1,0
185,까치산,서울,32.0,0
62,"도봉, 도봉산, 수락산",서울,31.2,0
136,"답십리, 마장, 신답, 왕십리, 용답, 한양대",서울,30.4,0
75,"가천대, 모란, 태평",경기,30.0,0
219,장한평,서울,29.2,0
93,"공항시장, 김포공항, 송정, 신방화",서울,28.8,0
60,"송산, 어룡, 탑석",경기,28.6,1
104,"마포구청, 월드컵경기장",서울,28.2,0
80,"월계, 중계, 하계",서울,28.0,0
69,"광명사거리, 철산",경기,27.6,0
67,"신내, 양원",서울,27.0,1
95,"녹사평, 이태원, 한강진",서울,26.5,1
66,"부천, 소사",경기,26.2,0
225,한남,서울,26.2,1
184,금호,서울,25.8,1
168,원당,경기,25.8,1
18,"마석, 천마산",경기,25.4,1
44,"곡산, 백석",경기,25.2,1
222,중화,서울,25.2,1
61,"의정부시청, 흥선",경기,24.5,1
188,녹번,서울,23.4,1
169,원종,경기,23.0,1
213,양천구청,서울,22.6,1
65,"역곡, 온수",경기,22.2,1
71,"오류동, 천왕",서울,21.8,1
157,별내별가람,경기,21.6,1
178,가좌,서울,21.6,1
56,"미사, 하남검단산, 하남시청, 하남풍산",경기,21.4,1
204,신대방,서울,21.2,1
170,원흥,경기,21.2,1
27,"금릉, 금촌",경기,21.0,1
13,"평택, 평택지제",경기,20.4,1
29,"갈매, 별내, 퇴계원",경기,20.4,1
16,"서정리, 송탄, 진위",경기,20.3,1
42,"일산, 탄현",경기,20.2,1
162,소새울,경기,20.0,1
153,남위례,경기,20.0,1
59,"망월사, 장암",경기,19.8,1
203,신금호,서울,19.6,1
154,녹양,경기,19.0,1
78,"4.19민주묘지, 가오리, 미아, 북한산보국문, 북한산우이, 삼양, 삼양사거리, 솔밭공원, 솔샘, 수유, 화계",서울,19.0,1
25,"달월, 월곶",경기,18.8,1
52,"강남대, 구성, 기흥, 동백, 신갈, 어정, 지석, 초당",경기,18.4,1
175,풍산,경기,17.4,1
41,"대화, 주엽",경기,16.8,1
20,"운양, 장기",경기,15.8,1
151,고촌,경기,15.8,1
215,옥수,서울,15.4,1
144,"보문, 창신",서울,14.8,1
51,"보정, 수지구청, 죽전",경기,14.4,1
156,백마,경기,14.4,1
223,청계산입구,서울,14.4,1
171,의왕,경기,13.1,1
212,양재시민의숲,서울,13.0,1
195,불암산,서울,12.6,1
172,전대·에버랜드,경기,12.4,1
36,"광교, 광교중앙, 상현",경기,11.4,1
68,"독립문, 무악재, 홍제",서울,11.4,1
26,"덕소, 도심, 양정",경기,10.8,1
218,일원,서울,10.0,1
96,"돌곶이, 상월곡, 월곡",서울,9.8,1
221,중앙보훈병원,서울,9.4,1
15,"병점, 서동탄, 세마, 오산, 오산대",경기,9.4,1
48,"삼송, 지축, 구파발",경기,9.2,1
129,"둔촌오륜, 올림픽공원",서울,9.2,1
167,연천,경기,8.4,1
39,"고진, 김량장, 명지대, 삼가, 시청·용인대, 용인중앙시장",경기,7.6,1
152,금곡,경기,7.4,1
8,"동두천, 동두천중앙, 보산, 소요산, 지행",경기,7.2,1
31,"고색, 오목천",경기,6.6,1
3,"오남, 진접",경기,6.2,1
210,암사역사공원,서울,6.0,1
187,남태령,서울,5.0,1
158,사릉,경기,5.0,1
164,신현,경기,4.4,1
40,"둔전, 보평",경기,4.2,1
159,산성,경기,4.2,1
160,상갈,경기,4.2,1
34,"강매, 능곡, 대곡, 행신",경기,4.0,1
33,"야당, 운정",경기,3.8,1
173,팔당,경기,3.2,1
166,양주,경기,3.2,1
7,"덕계, 덕정",경기,3.2,1
163,신둔도예촌,경기,3.2,1
216,응봉,서울,2.2,1
23,"시흥능곡, 시흥시청",경기,2.2,1
193,버티고개,서울,2.2,1
22,"고잔, 능길, 달미, 사리, 상록수, 선부, 시우, 안산, 원시, 중앙, 초지, 한대앞",경기,2.0,1
6,"양수, 운길산",경기,0.0,1
24,"오이도, 정왕",경기,0.0,1
32,"대야미, 반월",경기,0.0,1
35,"관악, 광명, 석수",경기,0.0,1
53,"경마공원, 과천, 대공원, 선바위, 정부과천청사",경기,0.0,1
2,"부발, 이천",경기,0.0,1
0,"세종대왕릉, 여주",경기,0.0,1
1,"가평, 상천, 청평",경기,0.0,1
17,"월롱, 파주",경기,0.0,1
9,"전곡, 청산",경기,0.0,1
10,"국수, 신원",경기,0.0,1
11,"아신, 양평, 오빈",경기,0.0,1
5,"용문, 원덕, 지평",경기,0.0,1
14,"야목, 어천",경기,0.0,1
12,"문산, 운천, 임진강",경기,0.0,1
4,"경기광주, 곤지암, 삼동, 초월",경기,0.0,1
155,대성리,경기,0.0,1
113,"구반포, 동작",서울,0.0,1
176,한국항공대,경기,0.0,1
198,서빙고,서울,0.0,1
