상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
145,"당곡, 보라매, 보라매공원, 보라매병원, 서울지방병무청, 신대방삼거리, 신림",서울,77.6,26.0,1
177,화정,경기,72.9,22.0,1
131,"몽촌토성, 송파나루, 한성백제",서울,72.6,24.0,1
201,성신여대입구,서울,72.0,25.0,1
110,"뚝섬, 서울숲, 성수",서울,71.6,27.0,1
83,"가양, 등촌, 증미",서울,71.6,24.0,1
43,"금정, 명학, 범계, 인덕원, 평촌",경기,71.6,21.0,2
63,"가능, 경전철의정부, 동오, 의정부, 의정부중앙",경기,71.3,23.0,1
191,미아사거리,서울,69.0,22.0,2
106,"남성, 총신대입구",서울,66.3,21.0,2
134,"강동, 길동, 천호",서울,64.2,22.0,2
123,"남영, 삼각지, 숙대입구",서울,63.8,19.0,2
138,"고려대, 안암",서울,63.6,18.0,2
79,"발산, 양천향교, 우장산, 화곡",서울,62.3,17.0,2
111,"구로, 도림천, 신도림",서울,60.7,19.0,2
101,"공릉, 먹골, 봉화산, 석계, 태릉입구, 화랑대",서울,59.9,18.0,2
21,"구래, 마산, 양촌",경기,58.0,19.0,2
114,"언주, 역삼, 학동",서울,57.6,18.0,2
189,대흥,서울,57.3,17.0,2
135,"굽은다리, 명일",서울,57.1,18.0,2
58,"발곡, 범골, 회룡",경기,57.0,21.0,2
205,신설동,서울,56.8,19.0,2
214,여의나루,서울,56.4,14.0,2
130,"석촌, 송파",서울,55.6,18.0,2
147,"동대문역사문화공원, 동대입구, 약수, 청구",서울,55.2,17.0,2
137,"상왕십리, 행당",서울,53.6,17.0,2
38,"서현, 성남, 수내, 야탑, 이매, 정자, 판교",경기,52.8,16.0,2
197,상수,서울,52.7,18.0,2
140,"광흥창, 서강대",서울,51.6,16.0,2
224,청량리,서울,51.4,17.0,2
207,쌍문,서울,51.4,17.0,2
196,사당,서울,50.8,15.0,2
190,둔촌동,서울,50.8,18.0,2
49,"동천, 미금, 오리",경기,49.8,16.0,2
94,"신이문, 외대앞, 회기",서울,49.6,18.0,2
194,봉천,서울,49.4,18.0,2
174,평내호평,경기,49.2,15.0,2
128,"가락시장, 개롱, 경찰병원, 문정, 방이, 복정, 오금, 장지",서울,49.0,16.0,2
117,"사가정, 용마산",서울,49.0,17.0,2
107,"내방, 방배",서울,48.9,16.0,2
202,수서,서울,48.7,13.0,2
86,"남한산성입구, 단대오거리",경기,47.8,16.0,2
182,광운대,서울,47.2,14.0,2
91,"구산, 독바위, 불광, 역촌, 연신내",서울,47.0,14.0,2
19,"걸포북변, 사우, 풍무",경기,46.4,15.0,2
72,"노원, 마들, 상계",서울,46.3,17.0,2
50,"까치울, 부천시청, 부천종합운동장, 상동, 신중동, 춘의",경기,45.6,17.0,2
108,"강남구청, 선릉, 선정릉",서울,45.2,14.0,2
88,"군자, 아차산",서울,45.0,15.0,2
115,"거여, 마천",서울,44.3,15.0,2
73,"녹천, 창동",서울,44.2,16.0,2
179,강동구청,서울,44.2,15.0,2
37,"시흥대야, 신천",경기,44.0,15.0,2
87,"수진, 신흥",경기,44.0,15.0,2
217,이촌,서울,43.6,12.0,2
77,"길음, 정릉",서울,43.6,15.0,2
133,"아현, 애오개",서울,42.8,12.0,2
192,방학,서울,42.6,14.0,2
116,"망우, 면목, 상봉, 중랑",서울,42.4,15.0,2
209,암사,서울,41.8,13.0,2
146,"서울대벤처타운, 서원",서울,41.4,14.0,2
105,"디지털미디어시티, 수색",서울,41.4,13.0,2
64,"경기도청북부청사, 곤제, 새말, 효자",경기,41.2,15.0,2
186,낙성대,서울,40.6,12.0,2
84,"개화, 개화산, 방화",서울,40.6,12.0,2
98,"노량진, 상도, 숭실대입구, 장승배기",서울,39.8,13.0,2
55,"송내, 중동",경기,39.8,16.0,2
161,성복,경기,39.4,14.0,2
90,"새절, 응암, 증산",서울,39.0,15.0,2
82,"신목동, 염창",서울,39.0,12.0,2
70,"개봉, 구일",서울,38.0,14.0,2
206,신풍,서울,38.0,12.0,2
125,"목동, 신정, 신정네거리, 오목교",서울,37.8,12.0,2
100,"강일, 상일동",서울,37.3,11.0,2
99,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 매봉, 학여울, 한티",서울,36.8,10.0,2
220,중곡,서울,36.2,12.0,2
180,고덕,서울,35.8,12.0,2
181,관악산,서울,34.8,10.0,2
